FIPS,State,County,Weighted_Mean_Score,F1_hardship,F2_geo_inacc,F3_urban_access,F4_alt_outlets,F5_retail_env
26151,Michigan,Sanilac County,0.697890205,0.173540134,0.429893869,0.438307877,1.892629907,0.555079239
35006,New Mexico,Cibola County,0.696624899,2.081903281,0.947821167,-1.317824987,1.99447506,-0.223250028
38049,North Dakota,McHenry County,0.689037241,-0.940823012,2.070410702,1.52895873,-0.615264002,1.401903789
30015,Montana,Chouteau County,0.687156281,-0.489295576,1.615168798,1.125313516,-0.066441889,1.251036557
31041,Nebraska,Custer County,0.684256005,-0.7649929,1.93782659,0.97573519,-0.047926183,1.320637326
20039,Kansas,Decatur County,0.683130643,-0.610186309,2.390482537,1.719163107,-0.915742717,0.831936595
21171,Kentucky,Monroe County,0.681375281,0.96615371,-0.568304094,0.411954636,1.562019988,1.035052163
6003,California,Alpine County,0.68093275,-0.104190065,1.626537694,1.087988029,-0.840474113,1.634802205
35007,New Mexico,Colfax County,0.679799206,1.336830991,0.539626786,0.710280744,0.339387913,0.472869594
35037,New Mexico,Quay County,0.676583307,1.443738859,2.675904084,-0.127732865,-0.802424464,0.193430919
28069,Mississippi,Kemper County,0.676138308,2.248235379,1.167452758,0.753409759,-0.889363016,0.100956659
16037,Idaho,Custer County,0.675327089,-0.475006968,0.230363667,1.480673697,-0.443712593,2.58431764
1085,Alabama,Lowndes County,0.674383434,2.816015019,0.96657179,0.559179817,-0.885230308,-0.084619148
31165,Nebraska,Sioux County,0.672505938,-1.004766401,2.008617367,1.58954508,-0.87171572,1.640849366
55107,Wisconsin,Rusk County,0.67173326,0.29620016,0.976025018,0.48188186,1.320150927,0.284408337
21135,Kentucky,Lewis County,0.671728275,1.788148256,-0.66236048,0.432806549,0.770980923,1.029066125
46121,South Dakota,Todd County,0.669949721,3.976738491,0.101639389,-1.087697835,-0.71859647,1.077665028
29025,Missouri,Caldwell County,0.668437679,-0.080728773,1.799001707,0.980122107,-0.074183116,0.717976471
20019,Kansas,Chautauqua County,0.6681242,0.207344292,0.959382414,1.619937404,-0.893796909,1.447753801
20201,Kansas,Washington County,0.667477603,-0.910834511,1.399775121,1.771880492,-0.877085138,1.953652052
46015,South Dakota,Brule County,0.66603491,-0.296738982,2.019091544,0.802650505,-0.051698569,0.856870051
49037,Utah,San Juan County,0.66241564,1.478030271,1.804290906,0.463254955,-0.843891072,0.41039314
48033,Texas,Borden County,0.657587208,-1.287148197,3.086184977,1.321042668,-0.864280919,1.032137512
20001,Kansas,Allen County,0.656650722,-0.293025587,2.250464058,0.110396491,1.106521507,0.10889714
31035,Nebraska,Clay County,0.653786959,-0.880961217,1.559903605,1.454816867,-0.84771538,1.982890918
55051,Wisconsin,Iron County,0.650154082,-0.002718133,-0.211239572,1.64535925,-0.094476596,1.913845462
21071,Kentucky,Floyd County,0.648434093,2.215335544,-0.986186653,-0.208262566,1.922510514,0.298773626
30005,Montana,Blaine County,0.648412725,1.155124435,0.792868443,0.471359963,-0.798412516,1.621123302
20089,Kansas,Jewell County,0.645705994,-0.46827548,0.396556323,1.989844067,-0.889452829,2.199857887
21237,Kentucky,Wolfe County,0.644337054,2.871812563,-0.437667243,0.363414053,-0.064904211,0.489030106
46137,South Dakota,Ziebach County,0.637997656,2.999558886,1.180914727,-0.353953955,-0.79672925,0.160197871
19029,Iowa,Cass County,0.632041081,-0.596291743,2.059429611,0.273487001,0.300911941,1.122668596
28103,Mississippi,Noxubee County,0.630804006,2.625803672,-0.00387947,-0.835404077,1.91654861,-0.549048703
36041,New York,Hamilton County,0.628134563,-0.598086544,1.295962537,1.492265561,-0.098298024,1.048829283
23003,Maine,Aroostook County,0.62480838,0.554980046,-0.13905759,0.553656053,1.246145944,0.908317446
27007,Minnesota,Beltrami County,0.615234525,0.227223892,1.362201073,-0.785530855,1.831768359,0.440510158
1047,Alabama,Dallas County,0.614827652,1.99369288,0.194480684,-1.642495965,2.812731191,-0.284270532
38013,North Dakota,Burke County,0.612727646,-1.436167692,2.13593751,1.535144503,-0.853124788,1.681848695
46129,South Dakota,Walworth County,0.61224821,-0.797040901,2.578932758,0.521231165,-0.778929231,1.537047257
53031,Washington,Jefferson County,0.610293328,-0.176725261,0.48237405,0.211740418,2.684550944,-0.150473513
26083,Michigan,Keweenaw County,0.608261622,-0.090247552,0.39144622,1.699509165,-0.873758521,1.914358799
41065,Oregon,Wasco County,0.608079516,0.449677387,1.653435796,-1.191378106,2.156866667,-0.028204162
30065,Montana,Musselshell County,0.60684526,0.071350413,1.684764526,1.097751752,-0.853859585,1.034219193
46067,South Dakota,Hutchinson County,0.606009396,-1.033002065,-0.568738678,2.066648948,-0.84382471,3.408963487
35017,New Mexico,Grant County,0.605753169,1.161022792,0.824728065,-0.418394119,1.766267939,-0.304858831
29153,Missouri,Ozark County,0.605752576,1.038259758,0.986615363,1.046017897,-0.106176076,0.064045939
19137,Iowa,Montgomery County,0.597376645,-0.160007091,0.859382299,0.023719217,1.605834905,0.657953894
31089,Nebraska,Holt County,0.592544552,-1.108226043,1.626014026,1.203823149,-0.813480768,2.054592395
32011,Nevada,Eureka County,0.591872072,-1.295341363,1.123128809,1.154521674,-0.022353827,1.999405068
51049,Virginia,Cumberland County,0.588778266,1.334659836,1.635583317,0.874516686,-0.882115202,-0.018753307
31175,Nebraska,Valley County,0.585272534,-1.029224426,0.224693477,1.604997477,-0.05659739,2.182493533
40141,Oklahoma,Tillman County,0.583234346,0.755036689,2.392962338,0.417714357,-0.829405565,0.179863913
51620,Virginia,Franklin city,0.58071914,2.013397355,1.607036627,-1.300906868,0.099733874,0.484334712
38067,North Dakota,Pembina County,0.579958695,-1.20090314,1.340087988,1.516991267,-0.836561292,2.08017865
28133,Mississippi,Sunflower County,0.57943428,2.819495651,0.322038641,-0.800794736,1.135965842,-0.579533997
40067,Oklahoma,Jefferson County,0.579354146,1.288045082,0.354720686,1.10817834,-0.86556733,1.011393951
21081,Kentucky,Grant County,0.577012375,0.902742224,1.605455943,-0.108963112,0.794227206,-0.308400384
